"N° Id","Tipo Imbarcazioni Ship Type","Nomi Imbarcazioni Ship Name","Naz. Imbarcazioni Ship Nationality","Porto Partenza Departure Place","Partenza Departure","Porto Arrivo Arrival Place","Arrivo Arrival","Porto Scalo Portcall Place","Merce Articles","Fonte Sources","Persona People Info"
00607,,,,Genova,,Pisa,10/10/1392,,,"Archivio di Stato di Prato (Datini)","Antonio d'Angiolino (padrone)"
00608,liuto,,,Lerici,,Pisa,12/11/1392,,,"Archivio di Stato di Prato (Datini)","Antonino d'Angiolino da Porto Venere (padrone)"
00609,liuto,,,Genova,,Pisa,28/11/1392,,,"Archivio di Stato di Prato (Datini)","Antonino d'Angiolino da Porto Venere (padrone)"
00610,liuto,,,Genova,,Pisa,07/01/1393,,,"Archivio di Stato di Prato (Datini)","Antonio d'Angiolino (padrone)"
00611,,,,Genova,,Pisa,18/01/1393,,,"Archivio di Stato di Prato (Datini)","Antonio d'Angiolino (padrone)"
00612,liuto,,,Pisa,23/01/1393,Genova,,,,"Archivio di Stato di Prato (Datini)","Antonio d'Angiolino (padrone)"
00613,liuto,,,Genova,,Pisa,11/02/1393,,,"Archivio di Stato di Prato (Datini)","Antonino d'Angiolino da Porto Venere (padrone)"
00614,,,,Pisa,07/04/1393,Genova,,,,"Archivio di Stato di Prato (Datini)","Antonio d'Angiolino (padrone)"
00616,liuto,,,Genova,17/04/1393,Pisa,,,,"Archivio di Stato di Prato (Datini)","Antonino d'Angiolino da Porto Venere (padrone)"
00617,,,,Genova,,Pisa,21/04/1393,,,"Archivio di Stato di Prato (Datini)","Antonino d'Angiolino da Porto Venere (padrone)"
00618,,,,Pisa,23/04/1393,Genova,,,,"Archivio di Stato di Prato (Datini)","Antonino d'Angiolino da Porto Venere (padrone)"
00619,,,,Pisa,11/08/1393,Livorno,,,,"Archivio di Stato di Prato (Datini)","Antonino d'Angiolino da Porto Venere (padrone)"
00620,liuto,,,Pisa,12/05/1396,Genova,,,,"Archivio di Stato di Prato (Datini)","Antonino d'Angiolino da Porto Venere (padrone)"
00621,liuto,,,Pisa,02/07/1396,Genova,,,,"Archivio di Stato di Prato (Datini)","Antonio d'Angiolino (padrone)"
00624,vacchetta,,,Genova,07/10/1387,Pisa,,,,"Archivio di Stato di Prato (Datini)","Antonino di Francesco da Panicaglia (padrone)"
